"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 17 12:33:43 GMT 2022","Sun Jul 17 12:33:44 GMT 2022","1312","tests","test_selene","","","","test_github",""
"broken","Sun Jul 17 12:33:44 GMT 2022","Sun Jul 17 12:33:45 GMT 2022","691","tests","test_steps","","","","test_dynamic_steps",""
"passed","Sun Jul 17 12:33:43 GMT 2022","Sun Jul 17 12:33:43 GMT 2022","1","tests","test_attachments","","","","test_attachments",""
"passed","Sun Jul 17 12:33:43 GMT 2022","Sun Jul 17 12:33:43 GMT 2022","0","tests","test_labels","","","","test_decorator_labels",""
"broken","Sun Jul 17 12:33:45 GMT 2022","Sun Jul 17 12:33:46 GMT 2022","684","tests","test_steps","","","","test_decorator_steps",""
"passed","Sun Jul 17 12:33:43 GMT 2022","Sun Jul 17 12:33:43 GMT 2022","0","tests","test_labels","","","","test_no_labels",""
"passed","Sun Jul 17 12:33:43 GMT 2022","Sun Jul 17 12:33:43 GMT 2022","1","tests","test_labels","","","","test_dynamic_labels",""
