"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 16 11:16:40 GMT 2023","Mon Oct 16 11:16:41 GMT 2023","962","tests","test_selene","","","","test_github",""
"broken","Mon Oct 16 11:16:44 GMT 2023","Mon Oct 16 11:16:45 GMT 2023","994","tests","test_steps","","","","test_decorator_steps",""
"broken","Mon Oct 16 11:16:36 GMT 2023","Mon Oct 16 11:16:36 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"broken","Mon Oct 16 11:16:38 GMT 2023","Mon Oct 16 11:16:38 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
"broken","Mon Oct 16 11:16:42 GMT 2023","Mon Oct 16 11:16:43 GMT 2023","975","tests","test_steps","","","","test_dynamic_steps",""
"broken","Mon Oct 16 11:16:39 GMT 2023","Mon Oct 16 11:16:39 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
