"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 17 12:41:37 GMT 2022","Sun Jul 17 12:41:41 GMT 2022","4954","tests","test_selene","","","","test_github",""
"broken","Sun Jul 17 12:41:42 GMT 2022","Sun Jul 17 12:41:42 GMT 2022","688","tests","test_steps","","","","test_dynamic_steps",""
"passed","Sun Jul 17 12:41:37 GMT 2022","Sun Jul 17 12:41:37 GMT 2022","0","tests","test_labels","","","","test_dynamic_labels",""
"passed","Sun Jul 17 12:41:37 GMT 2022","Sun Jul 17 12:41:37 GMT 2022","0","tests","test_labels","","","","test_no_labels",""
"broken","Sun Jul 17 12:41:42 GMT 2022","Sun Jul 17 12:41:43 GMT 2022","666","tests","test_steps","","","","test_decorator_steps",""
"passed","Sun Jul 17 12:41:37 GMT 2022","Sun Jul 17 12:41:37 GMT 2022","0","tests","test_labels","","","","test_decorator_labels",""
"passed","Sun Jul 17 12:41:37 GMT 2022","Sun Jul 17 12:41:37 GMT 2022","1","tests","test_attachments","","","","test_attachments",""
