"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 10 09:09:30 GMT 2023","Mon Jul 10 09:09:30 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"broken","Mon Jul 10 09:09:28 GMT 2023","Mon Jul 10 09:09:28 GMT 2023","1","tests","test_attachments","","","","test_attachments",""
"broken","Mon Jul 10 09:09:34 GMT 2023","Mon Jul 10 09:09:34 GMT 2023","645","tests","test_steps","","","","test_dynamic_steps",""
"broken","Mon Jul 10 09:09:35 GMT 2023","Mon Jul 10 09:09:36 GMT 2023","644","tests","test_steps","","","","test_decorator_steps",""
"broken","Mon Jul 10 09:09:32 GMT 2023","Mon Jul 10 09:09:33 GMT 2023","644","tests","test_selene","","","","test_github",""
"broken","Mon Jul 10 09:09:31 GMT 2023","Mon Jul 10 09:09:31 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"broken","Mon Jul 10 09:09:31 GMT 2023","Mon Jul 10 09:09:31 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
