"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 09:48:20 GMT 2023","Mon Jul 10 09:48:20 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"passed","Mon Jul 10 09:48:27 GMT 2023","Mon Jul 10 09:48:33 GMT 2023","5785","tests","test_steps","","","","test_dynamic_steps",""
"passed","Mon Jul 10 09:48:20 GMT 2023","Mon Jul 10 09:48:20 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"failed","Mon Jul 10 09:48:20 GMT 2023","Mon Jul 10 09:48:27 GMT 2023","6722","tests","test_selene","","","","test_github",""
"passed","Mon Jul 10 09:48:33 GMT 2023","Mon Jul 10 09:48:38 GMT 2023","5006","tests","test_steps","","","","test_decorator_steps",""
"passed","Mon Jul 10 09:48:18 GMT 2023","Mon Jul 10 09:48:18 GMT 2023","0","tests","test_attachments","","","","test_attachments",""
"passed","Mon Jul 10 09:48:20 GMT 2023","Mon Jul 10 09:48:20 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
