"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 10 08:49:53 GMT 2023","Mon Jul 10 08:49:53 GMT 2023","1","tests","test_attachments","","","","test_attachments",""
"broken","Mon Jul 10 08:50:01 GMT 2023","Mon Jul 10 08:50:02 GMT 2023","644","tests","test_steps","","","","test_decorator_steps",""
"broken","Mon Jul 10 08:49:57 GMT 2023","Mon Jul 10 08:49:58 GMT 2023","644","tests","test_selene","","","","test_github",""
"broken","Mon Jul 10 08:50:00 GMT 2023","Mon Jul 10 08:50:01 GMT 2023","646","tests","test_steps","","","","test_dynamic_steps",""
"broken","Mon Jul 10 08:49:57 GMT 2023","Mon Jul 10 08:49:57 GMT 2023","1","tests","test_labels","","","","test_decorator_labels",""
"broken","Mon Jul 10 08:49:55 GMT 2023","Mon Jul 10 08:49:55 GMT 2023","1","tests","test_labels","","","","test_no_labels",""
"broken","Mon Jul 10 08:49:56 GMT 2023","Mon Jul 10 08:49:56 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
